,article,article_id,onclick
35,《로동신문》 과학기술과 교육은 자력갱생대진군의 견인기라고 강조,AR0126260,"fn_showArticle(""AR0126260"", """", ""NT41"", ""L"")"
36,반제민전 평양지부 대표 공동선언리행에 총력을 경주해갈것이라고 강조,AR0126233,"fn_showArticle(""AR0126233"", """", ""NT04"", ""L"")"
37,6.15공동선언실천 민족공동위원회 결의문,AR0126228,"fn_showArticle(""AR0126228"", """", ""NT04"", ""L"")"
38,조국통일연구원 상보,AR0125916,"fn_showArticle(""AR0125916"", """", ""NT04"", ""L"")"
39,조선민주주의인민공화국 조국평화통일위원회 통일선전국 고발장,AR0125556,"fn_showArticle(""AR0125556"", """", ""NT04"", ""L"")"
40,파멸의 운명에 처한자들의 부질없는 대결광증--조선중앙통신사 론평,AR0125472,"fn_showArticle(""AR0125472"", """", ""NT04"", ""L"")"
41,반제민전 중앙위원회 전국민이 일치단합하여 보수적페세력들을 척결하고 항쟁용사들이 바라던 념원을 성취하자고 호소,AR0125350,"fn_showArticle(""AR0125350"", """", ""NT04"", ""L"")"
42,거세찬 역풍을 몰아오는 《북풍몰이》--조선중앙통신사 론평,AR0125232,"fn_showArticle(""AR0125232"", """", ""NT04"", ""L"")"
43,최룡해동지 세이쉘공화국 국경절을 축하,AR0126295,"fn_showArticle(""AR0126295"", """", ""NT03"", ""L"")"
44,"6.12조미공동성명채택 1돐에 즈음하여 로씨야,알제리인사 담화 발표",AR0126290,"fn_showArticle(""AR0126290"", """", ""NT03"", ""L"")"
45,김일성주석회고위원회 쿠웨이트에서 결성,AR0126289,"fn_showArticle(""AR0126289"", """", ""NT03"", ""L"")"
46,김일성주석회고 수리아통일사회주의자당위원회 결성,AR0126288,"fn_showArticle(""AR0126288"", """", ""NT03"", ""L"")"
47,김정은동지께 베네수엘라 까라보보주 나구아나구아시가 최고훈장을 수여해드리였다,AR0126287,"fn_showArticle(""AR0126287"", """", ""NT03"", ""L"")"
48,"중국공산당 중앙위원회 총서기,중화인민공화국 주석 습근평동지가 조선을 방문한다",AR0126286,"fn_showArticle(""AR0126286"", """", ""NT03"", ""L"")"
49,조선에서 적십자활동 활발,AR0126284,"fn_showArticle(""AR0126284"", """", ""NT03"", ""L"")"
50,평양국제건강 및 의료기구부문 과학기술전시회 개막,AR0126283,"fn_showArticle(""AR0126283"", """", ""NT03"", ""L"")"
51,사회적진보와 발전을 위하여,AR0126311,"fn_showArticle(""AR0126311"", """", ""NT06"", ""L"")"
52,중국외교부 부부장 내정간섭을 중지할것을 미국에 요구,AR0126308,"fn_showArticle(""AR0126308"", """", ""NT06"", ""L"")"
53,로씨야 나토의 군사연습에 대응,AR0126306,"fn_showArticle(""AR0126306"", """", ""NT06"", ""L"")"
54,"로씨야,벨라루씨,쓰르비아 합동군사훈련 진행",AR0126304,"fn_showArticle(""AR0126304"", """", ""NT06"", ""L"")"
55,일본과 통가에서 지진,AR0126302,"fn_showArticle(""AR0126302"", """", ""NT06"", ""L"")"
56,꾸바국가리사회 위원장 경제부문에서 무책임한 일본새를 없앨것을 호소,AR0126300,"fn_showArticle(""AR0126300"", """", ""NT06"", ""L"")"
57,중국 중경시에서의 사막화방지사업,AR0126307,"fn_showArticle(""AR0126307"", """", ""NT06"", ""L"")"
58,나미비아대통령 어린이보호문제에 언급,AR0126305,"fn_showArticle(""AR0126305"", """", ""NT06"", ""L"")"
59,몽골에서 폭우와 큰물,AR0126303,"fn_showArticle(""AR0126303"", """", ""NT06"", ""L"")"
60,로씨야 나토가 존재할 명분이 없다고 주장,AR0126301,"fn_showArticle(""AR0126301"", """", ""NT06"", ""L"")"
61,인도네시아와 온두라스에서 교통사고,AR0126299,"fn_showArticle(""AR0126299"", """", ""NT06"", ""L"")"
62,6.15공동선언실천 민족공동위원회 결의문,AR0126228,"fn_showArticle(""AR0126228"", """", ""NT17"", ""L"")"
63,조국통일연구원 상보,AR0125916,"fn_showArticle(""AR0125916"", """", ""NT17"", ""L"")"
64,조선민주주의인민공화국 외무성 대변인담화,AR0125883,"fn_showArticle(""AR0125883"", """", ""NT17"", ""L"")"
65,조선민주주의인민공화국 외무성 미국연구소 정책연구실장의 담화,AR0125700,"fn_showArticle(""AR0125700"", """", ""NT17"", ""L"")"
66,조선민주주의인민공화국 조국평화통일위원회 통일선전국 고발장,AR0125556,"fn_showArticle(""AR0125556"", """", ""NT17"", ""L"")"
67,반제민전 중앙위원회 전국민이 일치단합하여 보수적페세력들을 척결하고 항쟁용사들이 바라던 념원을 성취하자고 호소,AR0125350,"fn_showArticle(""AR0125350"", """", ""NT17"", ""L"")"
68,5.1절 129돐기념 북남로동자단체 공동성명,AR0124794,"fn_showArticle(""AR0124794"", """", ""NT17"", ""L"")"
69,,AR0126293,"fn_showArticle(""AR0126293"", """", ""NT16"", ""L"")"
70,,AR0126292,"fn_showArticle(""AR0126292"", """", ""NT16"", ""L"")"
71,,AR0126262,"fn_showArticle(""AR0126262"", """", ""NT16"", ""L"")"
72,,AR0126260,"fn_showArticle(""AR0126260"", """", ""NT16"", ""L"")"
73,,AR0126235,"fn_showArticle(""AR0126235"", """", ""NT16"", ""L"")"
74,,AR0126234,"fn_showArticle(""AR0126234"", """", ""NT16"", ""L"")"
75,,AR0126203,"fn_showArticle(""AR0126203"", """", ""NT16"", ""L"")"
76,,AR0126309,"fn_showArticle(""AR0126309"", """", ""NT02"", ""L"")"
77,,AR0126298,"fn_showArticle(""AR0126298"", """", ""NT02"", ""L"")"
78,,AR0126253,"fn_showArticle(""AR0126253"", """", ""NT02"", ""L"")"
79,,AR0126224,"fn_showArticle(""AR0126224"", """", ""NT02"", ""L"")"
80,,AR0126191,"fn_showArticle(""AR0126191"", """", ""NT02"", ""L"")"
81,,AR0126155,"fn_showArticle(""AR0126155"", """", ""NT02"", ""L"")"
82,,AR0126254,"fn_showArticle(""AR0126254"", """", ""NT02"", ""L"")"
83,,AR0126225,"fn_showArticle(""AR0126225"", """", ""NT02"", ""L"")"
84,,AR0126192,"fn_showArticle(""AR0126192"", """", ""NT02"", ""L"")"
85,,AR0126190,"fn_showArticle(""AR0126190"", """", ""NT02"", ""L"")"
86,,AR0126120,"fn_showArticle(""AR0126120"", """", ""NT02"", ""L"")"
87,,AR0126313,"fn_showArticle(""AR0126313"", """", ""NT05"", ""L"")"
88,,AR0126312,"fn_showArticle(""AR0126312"", """", ""NT05"", ""L"")"
89,,AR0126193,"fn_showArticle(""AR0126193"", """", ""NT05"", ""L"")"
90,,AR0126164,"fn_showArticle(""AR0126164"", """", ""NT05"", ""L"")"
91,,AR0126162,"fn_showArticle(""AR0126162"", """", ""NT05"", ""L"")"
92,,AR0126154,"fn_showArticle(""AR0126154"", """", ""NT05"", ""L"")"
93,,AR0126153,"fn_showArticle(""AR0126153"", """", ""NT05"", ""L"")"
94,김일성동지와 김정일동지의 동상을 찾아 총련 지바현상공회대표단 경모의 정 표시,AR0126313,"fn_showArticle(""AR0126313"", """", ""NT21"", ""L"")"
95,최룡해동지 세이쉘공화국 국경절을 축하,AR0126295,"fn_showArticle(""AR0126295"", """", ""NT21"", ""L"")"
